"Traeplanke: Wavelength (nm)","Traeplanke: Intensity (rel)","Sol direkte: Wavelength (nm)","Sol direkte: Intensity (rel)","Blaa himmel: Wavelength (nm)","Blaa himmel: Intensity (rel)"
761,0.00432326932327,761,0.0623685573686,761,0.0014331964332
762,0.00535705035705,762,0.083206978207,762,0.00179117179117
763,0.00525937025937,763,0.0802602952603,763,0.00158212158212
764,0.00575184075184,764,0.0849611499611,764,0.00165982165982
765,0.00697691197691,765,0.100406815407,765,0.00201761201761
766,0.0080229030229,766,0.115461760462,766,0.00254671254671
767,0.0092439042439,767,0.129291634292,767,0.00266881266881
768,0.00982184482184,768,0.138583453583,768,0.0031277981278
769,0.0101555851556,769,0.142405187405,769,0.00321012321012
770,0.010525955526,770,0.143650608651,770,0.00317756317756
771,0.01053002553,771,0.142950567951,771,0.00332001332001
772,0.0103997853998,772,0.143093018093,772,0.00319384319384
773,0.0104282754283,773,0.142356347356,773,0.00323454323454
774,0.0101962851963,774,0.141017316017,774,0.00306767306767
775,0.0101067451067,775,0.139633514634,775,0.00325896325896
776,0.0101067451067,776,0.140077145077,776,0.00304325304325
777,0.00992359492359,777,0.137944462944,777,0.00312872312872
778,0.00980149480149,778,0.135616420616,778,0.00312465312465
779,0.00961427461427,779,0.134000629001,779,0.00301883301883
780,0.009773004773,780,0.133642468642,780,0.00292929292929
781,0.00945147445147,781,0.13155048655,781,0.00288452288452
782,0.00954101454101,782,0.130309135309,782,0.00272172272172
783,0.00918692418692,783,0.129979464979,783,0.00288045288045
784,0.00929274429274,784,0.127256632257,784,0.002738002738
785,0.00915029415029,785,0.126585081585,785,0.00297406297406
786,0.00904854404854,786,0.124383209383,786,0.00268120768121
787,0.0087962037962,787,0.12265956266,787,0.00260572760573
788,0.00863747363747,788,0.11991027491,788,0.00262404262404
789,0.00821012321012,789,0.117248492248,789,0.00250194250194
790,0.00839327339327,790,0.115828060828,790,0.00242461242461
791,0.00820198320198,791,0.114712879713,791,0.00254264254264
792,0.00815721315721,792,0.113333148333,792,0.00252192252192
793,0.00803511303511,793,0.111119066119,793,0.00245717245717
794,0.00820605320605,794,0.110671365671,794,0.00228216228216
795,0.00800255300255,795,0.110036445036,795,0.00243682243682
796,0.00794557294557,796,0.108200873201,796,0.002183002183
797,0.00811651311651,797,0.108017723018,797,0.00244089244089
798,0.00795778295778,798,0.108827653828,798,0.00232841232841
799,0.00785603285603,799,0.107313612314,799,0.00245717245717
800,0.0079008029008,800,0.105132090132,800,0.00218448218448
801,0.00760776260776,801,0.104883819884,801,0.00225737225737
802,0.00788452288452,802,0.105197210197,802,0.00226736226736
803,0.00770951270951,803,0.104944869945,803,0.00215599215599
804,0.00756706256706,804,0.104765789766,804,0.00201058201058
805,0.00760369260369,805,0.104464609465,805,0.0022903022903
806,0.00777463277463,806,0.105364080364,806,0.00221408221408
807,0.00780719280719,807,0.105696803197,807,0.00224053724054
808,0.00758741258741,808,0.103907018907,808,0.00225274725275
809,0.00758334258334,809,0.10115976616,809,0.00221297221297
810,0.00771358271358,810,0.0986485736486,810,0.00203796203796
811,0.00721297221297,811,0.0971915121915,811,0.00200133200133
812,0.00700133200133,812,0.0964507714508,812,0.00188792688793
813,0.00671643171643,813,0.0922545972546,813,0.00196877196877
814,0.00643967143967,814,0.0888398638399,814,0.00172161172161
815,0.00624838124838,815,0.0848878898879,815,0.00179783179783
816,0.00584138084138,816,0.0812370962371,816,0.00156917156917
817,0.00581696081696,817,0.0801504051504,817,0.00163577163577
818,0.00574777074777,818,0.079136974137,818,0.00165131165131
819,0.0058658008658,819,0.0799346949347,819,0.00164428164428
820,0.00595432345432,820,0.0818323343323,820,0.00164113664114
821,0.00626059126059,821,0.0857018907019,821,0.00158878158878
822,0.00571928071928,822,0.0810417360417,822,0.00171236171236
823,0.00535705035705,823,0.0715952565953,823,0.00148851148851
824,0.00573556073556,824,0.0786689236689,824,0.00173419173419
825,0.00603674103674,825,0.0830848780849,825,0.00167166167166
826,0.00608965108965,826,0.0810865060865,826,0.0017205017205
827,0.00593092093092,827,0.0806754356754,827,0.0016058016058
828,0.00565416065416,828,0.0761088911089,828,0.00152218152218
829,0.0054181004181,829,0.0763368113368,829,0.00156991156991
830,0.00563788063788,830,0.0758280608281,830,0.00167536167536
831,0.00557276057276,831,0.0757456432456,831,0.00156648906649
832,0.0054181004181,832,0.0743058793059,832,0.00151755651756
833,0.00549543049543,833,0.074025049025,833,0.00159544159544
834,0.00564602064602,834,0.0742488992489,834,0.00153032153032
835,0.0056623006623,835,0.0750018500019,835,0.00137677137677
836,0.00565009065009,836,0.0748186998187,836,0.00156177156177
837,0.00571114071114,837,0.0753762903763,837,0.00145761645762
838,0.0055809005809,838,0.0750506900507,838,0.00146039146039
839,0.00536926036926,839,0.0736668886669,839,0.00148333148333
840,0.00551985051985,840,0.0735814185814,840,0.00138232138232
